type	productId	name	mainImageUrl	lifestyleUrl	moreImages	video/s	category	collection	artist	artistName	color	colorStory	single/bundle	quantity	keywords	room	ribbon	bio	emotionalEnergy	scale	meaning	downloadLinkUrl	originalPrice	discount	newPrice
Product	1000098	Line Art No. 3	1799ca_e8dba10c12074b33846f0e60084c7c01~mv2.jpg	1799ca_adc3a64970b444ad820fb8417983c7c2~mv2.jpg			Line Art																19.95	50%	9.97
Product	1000099	The Beach Falaise D'amont	1799ca_bc6ba79ea87049ddb390745f0985e812~mv2.jpg	1799ca_acee96ed1e7d4c6e8b83276aa51b5f43~mv2.png			Prints & Posters;Paintings;Famous Painters;Claude Monet																19.95	50%	9.97
Product	1000100	Love is Enough	1799ca_3f434584e08f4465b9bfe257db594837~mv2.jpg	1799ca_acdfa89c531b45708ed5ff4469b029c9~mv2.jpg			Famous Painters					William Morris											19.95	60%	7.98
Product	1000101	Starry Night	1799ca_cf34ceca7fa24bfc9d1b3190a4ac7ef5~mv2.png	1799ca_abd9ca48e0ae4ac99d726d8dbb0ee522~mv2.png			Paintings;Famous Painters;Blue;Green;Prints & Posters;Vincent van Gogh																19.95	50%	9.97
Product	1000102	Four Fruits	1799ca_03f7429cf8c14ca8a51f64a3a864264b~mv2.jpg	1799ca_abac9cbfdabf45c78399e0b39e04b0be~mv2.jpg			Famous Painters					William Morris											19.95	55%	8.97
Product	1000103	Abstract Lines II	1799ca_6f62be58b9c742ca946daead6a2b1fc2~mv2.jpg	1799ca_a96710fc1a584f42bec0de89d3341c43~mv2.jpg			Bestsellers;Prints & Posters;Beige																19.95	80%	3.99
Product	1000104	Pampas Grass	1799ca_f69d9551cf274a939369cf2c331fbc8b~mv2.jpg	1799ca_a925fa492fda4bf1a7c5a5c03cc2eea4~mv2.jpg			Bought By Others;Botanical;Photography;Prints & Posters;Boho;Beige;Bestsellers																19.95	80%	3.99
Product	1000105	Almond Blossom	1799ca_8788bbc4eb28498f85bda22ef35f0ddd~mv2.png	1799ca_a801a268cca14e88999ad190be0d1c5d~mv2.jpg			Prints & Posters;Paintings;Famous Painters;Vincent van Gogh																19.95	60%	7.98
Product	1000106	Verdant Haze	1799ca_ec97043da16a438ab2276a28607ea8a1~mv2.jpg	1799ca_a7e69a84d43242159556373bd37d52df~mv2.jpg			Prints & Posters;Graphic							Red	Cozy								19.95	60%	7.98
Product	1000107	In The Spirit Of Hoffmann	1799ca_d234e329e6cc484a8031120a15cf85d0~mv2.jpg	1799ca_a6559576057a4714989f5ba87995efe4~mv2.jpg			Paul Klee;Paintings;Famous Painters;Yellow;Orange;Prints & Posters;Beige;Abstract																19.95	70%	5.98
Product	1000108	Playboy	1799ca_fdca734e72094067a2e7b2789dbe1e73~mv2.jpg	1799ca_a655757e652b4e5a9956023d29960a1a~mv2.jpg			Photography																19.95	60%	7.98
Product	1000109	Pink Lady	1799ca_bca79251de0749838e1210e4cd8568bd~mv2.jpg	1799ca_a641a28cce694350aef25f766417285e~mv2.jpg			New Designs;House Party																19.95	55%	8.97
Product	1000110	Drinking wine feeling fine	1799ca_cd89cedeb5674edfa95e45b0229dd4ed~mv2.jpg	1799ca_a5abf55a0064428185f2c267e3142c78~mv2.jpg			Typography																19.95	80%	3.99
Product	1000111	Royal White Rose	1799ca_ded3778cc07e484dbd9311575a1c0a72~mv2.jpg	1799ca_a4ee709afd2f49d8878db52ae6fac00a~mv2.jpg			Paintings;Famous Painters;Botanical;Prints & Posters;Joseph Redouté																19.95	50%	9.97
Product	1000112	123...	1799ca_cc1c84195e7142e4b2d1d0e3b558a321~mv2.jpg	1799ca_a455b9cccb4e47fa8ab22f9fc499a684~mv2.jpg			Children;Kids																19.95	75%	4.98
Product	1000113	You Are My Sunshine	1799ca_8dcc70640cf64a29b54abb32248bd495~mv2.jpg	1799ca_a44a360bd86648128fc66987968b023e~mv2.jpg			Children;Kids																19.95	80%	3.99
Product	1000114	Dark Wave Abstract	1799ca_e56657ce41e948058e773396bf0ef257~mv2.jpg	1799ca_a4478c5fa1d741b6a1536e5047ce410d~mv2.jpg			Prints & Posters;New In;Abstract																19.95	80%	3.99
Product	1000115	Golden Dawn	1799ca_ce1a5ab269194ed19970af339e233bd1~mv2.jpg	1799ca_a413e70bf85d41a980c203ed66bf9542~mv2.jpg			Prints & Posters;New Designs;Hues of Harmony																19.95	50%	9.97
Product	1000116	Lemons	1799ca_c300f135c30f42288467dbae32d85c1e~mv2.jpg	1799ca_a35e5531b19a4b7aa93d133e0b924ffe~mv2.jpg			Photography																19.95	50%	9.97
Product	1000117	You Me	1799ca_f77e3be3088a4aaebaa0b15f7b5d8a68~mv2.jpg	1799ca_a2f863f9f8584ecca360ad8dcea16d26~mv2.jpg			Typography																19.95	80%	3.99
Product	1000118	Portrait Of Tusnelda Sanders	1799ca_8481b38871b544859deecf3bb8f65bbf~mv2.jpg	1799ca_a2ea4b40e2724d559f8ca5d1e9d5992e~mv2.jpg			Famous Painters					Vilhelm Lundstrøm											19.95	70%	5.98
Product	1000119	Tiger II	1799ca_609f144ab3774d43a608a2ff681a7b8f~mv2.jpg	1799ca_a27677c21e634cf0a21cf7d4fbb7284b~mv2.jpg			Children;Kids																19.95	55%	8.97
Product	1000120	Three Color Cats	1799ca_bf3daf96e7fb4cab904559dedaaa5c12~mv2.jpg	1799ca_a0c115eb3147400284496fe058ffd75e~mv2.jpg			Children;Kids																19.95	80%	3.99
Product	1000121	Turtle	1799ca_9bba7f8866a54a80a7fed1f3641c0e6f~mv2.jpg	1799ca_a049b2b96d064020a5e1ef9bc2cf54df~mv2.jpg			Children;Kids																19.95	60%	7.98
